"Type","Code","ThinkCode","ColorCode","Formula","Colored","FormulaKey","SameCode","ColorDesc","ReverseCode"
角块,TI,题,"2",D U R2 D' R' U2 R D R' U2 R' U' D',,角块-TI,,,
角块,RW,肉丸,"0",R U' R2 U R D2 R' U' R D2 R U R',,角块-RW,,,
角块,SW,丝袜,"1",U' R2 D R U R' D' R U' R U,,角块-SW,,,
角块,TW,条纹,"2",R U R U R' D R U' R' D' U' R',,角块-TW,,,
角块,SG,砂锅,"1",R D R' U' R D' R' U,,角块-SG,,,
角块,SC,酸菜,"1",R' U R' D' R U2 R' D R U R,,角块-SC,,,
角块,ZA,藏獒,"2",U' R' D' R U R' D R,,角块-ZA,,,
角块,YB,怡宝,"1",R' F2 R D' R' D F2 D' R D,,角块-YB,,,
角块,YM,杨梅,"1",U R U' R' D R U R' D' U',,角块-YM,,,
角块,ZM,芝麻,"2",U R' D' R U' R' D2 R U R' D' R U',,角块-ZM,,,
角块,XN,犀牛,"0",U r' D2 r U' r' F D2 F' r,,角块-XN,,,
角块,YN,妖孽,"1",U L' U' R U L U' R',,角块-YN,,,
角块,ZN,猪脑,"2",R U R' D R U' R' D',,角块-ZN,,,
角块,XO,XO酒,"0",R2 U R2 U' R2 D2 R2 U R2 U' R2 D2,,角块-XO,,,
角块,YO,渔鸥,"1",U r2 D' R D r2 U' R',,角块-YO,,,
角块,ZO,贼鸥,"2",R2 D' R' U' R D R' U R',,角块-ZO,,,
角块,XP,橡皮,"0",U D R2 U' R' D R U R' D' R' D' U',,角块-XP,,,
角块,YP,羊排,"1",D U' R' U' R D2 R' U R U D,,角块-YP,,,
角块,ZP,纸牌,"2",U R' D' R U' R' D' R U R' D2 R U',,角块-ZP,,,
角块,XQ,星球,"0",D2 R U' R D' R' U R D R2 D2,,角块-XQ,,,
角块,YQ,月球,"1",U R U2 R D' R' U R D R' U R' U',,角块-YQ,,,
角块,ZQ,朱雀,"2",R U R' D2 R U' R' D2,,角块-ZQ,,,
角块,XR,虾仁,"0",R2 U R2 U' R2 D' R2 U R2 U' R2 D,,角块-XR,,,
角块,YR,羽绒,"1",U R D' U' R' D R U R' D' R D R' U',,角块-YR,,,
角块,ZR,猪肉,"2",D' r' F D2 F' r U r' D2 r U' D,,角块-ZR,,,
角块,XS,香水,"0",R U' D' R' U2 R' D R U2 R' D' R2 D U R',,角块-XS,,,
角块,YS,岩石,"1",U R U' R' D' R U R' D U',,角块-YS,,,
角块,ZS,钻石,"2",R' U R U R' D' R U' R' D U' R,,角块-ZS,,,
角块,XT,刑天,"0",D' R U' R D2 R' U R D2 R2 D,,角块-XT,,,
角块,XM,熊猫,"0",U D R D' R' D R U' R' D' R U D R' D' U',,角块-XM,,,
角块,ZW,指纹,"2",R2 D2 R' U' R D2 R' U R',,角块-ZW,,,
角块,YW,野味,"1",U R U' F2 U R' U' R F2 R',,角块-YW,,,
角块,XW,新闻,"0",R2 U R2 U' R2 D R2 U R2 U' R2 D',,角块-XW,,,
角块,ZB,珠宝,"2",D R U' R' D' R U2 R' D R U' R' D',,角块-ZB,,,
角块,XC,相册,"0",D' U' R' D U R U' R' D' R U R' U' R U D,,角块-XC,,,
角块,YC,旸唇,"1",F R U R' D R U' R' D' F',,角块-YC,,,
角块,ZC,榨菜,"2",R' U' R U R' D' R U' R' D U R,,角块-ZC,,,
角块,XD,鞋带,"0",D R2 D' R2 U R2 D R2 D' R2 U' R2,,角块-XD,,,
角块,YD,腰带,"1",D U R D R' U2 R D' R' U D',,角块-YD,,,
角块,ZD,桌垫,"2",U2 R' D' R U2 R' D R,,角块-ZD,,,
角块,XE,熊二,"0",U R' D' R' D' R U' R' D R U D R U' ,,角块-XE,,,
角块,YE,婴儿,"1",R U R' U' R' D' R U R' D R2 U' R',,角块-YE,,,
角块,ZE,猪耳,"2",D R U2 R' D' R U' R' D R U' R' D',,角块-ZE,,,
角块,XB,辛巴,"0",D' R D U' R' D' R U2 R' D R U' D' R' D,,角块-XB,,,
角块,XF,校服,"0",D' U' R' U' R' D R U R' D' R2 U D,,角块-XF,,,
角块,ZF,罪犯,"2",R B' R2 D' R U R' D R U' R B R',,角块-ZF,,,
角块,XG,香菇,"0",U' R' D R U R D' R' U' R D R2 D' R U,,角块-XG,,,
角块,YG,鱼缸,"1",D' U R' D R U' R' D' R D,,角块-YG,,,
角块,ZG,中国,"2",U R' D' R U' R' D R,,角块-ZG,,,
角块,XH,校花,"0",U R' D' U' R U R' D R U' R' U R U',,角块-XH,,,
角块,YH,樱花,"1",D' R' U R U' R' D R U R' D' U' R D,,角块-YH,,,
角块,ZH,知乎,"2",R' U R U' R' D' R U R' D U' R,,角块-ZH,,,
角块,XI,夕阳,"0",U D' R' D F2 D' R D R' F2 R U',,角块-XI,,,
角块,YI,Yif,"1",U' R' U R D R' U2 R D' R' U R U,,角块-YI,,,
角块,ZI,紫色,"2",R U R2 U' R' F' R U R2 U' R' F,,角块-ZI,,,
角块,YF,衣服,"1",l D' U' R' D R U R' D' R D l',,角块-YF,,,
角块,RC,肉串,"0",F' D' R U' R' D2 R U R' D' F,,角块-RC,,,
角块,TB,淘宝,"2",R U' R' D' R U2 R' D R U' R',,角块-TB,,,
角块,SB,鼠标,"1",R D' U' R' D R U2 R' D' R U' D R',,角块-SB,,,
角块,WS,五杀,"0",U' R' U R' D R U' R' D' R2 U,,角块-WS,,,
角块,MS,魔术,"1",D U R U' R' D2 R U R' U' D,,角块-MS,,,
角块,NS,年兽,"2",R D2 R' U' R D' R' U R D' R',,角块-NS,,,
角块,WT,梧桐,"0",R U D R U R' D' R U' R' U' R',,角块-WT,,,
角块,MT,摩托,"1",R' D R D' R U R' D R U' R2 D' R,,角块-MT,,,
角块,NT,奶糖,"2",D R U R' D2 R U' R' D,,角块-NT,,,
角块,WX,蚊香,"0",D R2 U R2 U' R2 D' R2 U R2 U' R2,,角块-WX,,,
角块,MX,米线,"1",U D R D' U' R' D R U R' D' R D R' D' U',,角块-MX,,,
角块,NX,奶昔,"2",r' F D2 F' r U r' D2 r U',,角块-NX,,,
角块,WY,乌鸦,"0",R F2 R' U R U' F2 U R' U',,角块-WY,,,
角块,MY,蚂蚁,"1",D U R U' R' D' R U R' U',,角块-MY,,,
角块,NY,农药,"2",R U L' U' R' U L U',,角块-NY,,,
角块,WZ,王子,"0",R U' R D2 R' U R D2 R2,,角块-WZ,,,
角块,MZ,帽子,"1",U R' D R U' R' D2 R U R' D R U',,角块-MZ,,,
角块,NZ,哪吒,"2",D R U R' D' R U' R',,角块-NZ,,,
角块,OA,办公,,R' D' R D R U' R' D' R U R2 D R,,角块-OA,,,
角块,PA,潘安,"1",U' R' D2 R U R' D2 R,,角块-PA,,,
角块,QA,奇安,"2",U2 R D' R' U R D R' U,,角块-QA,,,
角块,OB,欧巴,"0",R U2 R D' R' U2 R D R2,,角块-OB,,,
角块,PB,瀑布,"1",D2 R' F2 R D' R' D F2 D' R D',,角块-PB,,,
角块,QB,钱包,"2",R U' D R' D R U2 R' D' R D' U' R',,角块-QB,,,
角块,NR,牛肉,"2",D R2 D' R' U' R D R' U R' D',,角块-NR,,,
角块,MR,母乳,"1",F' R U' R' D' R U R' D F,,角块-MR,,,
角块,WR,世界纪录,"0",R U' R' D2 R' U R D2 R' U' R2 U R',,角块-WR,,,
角块,NQ,泥鳅,"2",D R U R' D R U' R' D2,,角块-NQ,,,
角块,ME,木耳,"1",U R2 D R U' R' D' R U R U',,角块-ME,,,
角块,NE,女儿,"2",R U2 R' D R U' R' D' R U' R',,角块-NE,,,
角块,WF,汪峰,"0",U' R' U' R' D R U R' D' R2 U,,角块-WF,,,
角块,MF,魔方,"1",R B' R2 D R U R' D' R U' R B R',,角块-MF,,,
角块,NF,奶粉,"2",D R' D R' U R D' R' U' R2 D',,角块-NF,,,
角块,WG,乌龟,"0",x' R U R' D2 R U' R' D2 x,,角块-WG,,,
角块,MG,芒果,"1",U R' D R U' R' D' R,,角块-MG,,,
角块,NG,南瓜,"2",D U R' D' R U' R' D R D',,角块-NG,,,
角块,WH,网红,"0",D U R' U' D' R U R' D R U' R' U R U' D',,角块-WH,,,
角块,MH,漫画,"1",R' U R U' R' D R U R' D' U' R,,角块-MH,,,
角块,OC,橘子郡男孩,"0",R2 D' R U' R' D' R U R' D2 R2,,角块-OC,,,
角块,NH,年货,"2",R' U L' U' R U L U',,角块-NH,,,
角块,MI,米,"1",U R U R' D R U2 R' D' R U R' U',,角块-MI,,,
角块,NI,镍,"2",D' U R2 D' R' U2 R D R' U2 R' U' D,,角块-NI,,,
角块,WO,玩偶,"0",F2 r D r' F2 r D' r',,角块-WO,,,
角块,MO,木偶,"1",F' R U' R' D2 R U R' D2 F,,角块-MO,,,
角块,NO,一氧化氮,"2",D R2 D2 R' U' R D2 R' U R' D',,角块-NO,,,
